"id","article","name","image","price_new","price_old","discount","date_update","type","length","width","height","weight","volume","actual","link"
"3d26ef5a-0832-423f-b838-9a9ece9100b6","844",Тумба ТВ «Алези» П1.350.0.02 (П350.02),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/35002-15d8c7d54f388e.jpg,2424,0,-2424,2024-09-10 00:00:00.000,тумба под телевизор,1569,501,584,79,0.517,true,https://pinskdrev.by/catalog/korpusnaya-mebel/tumbyi/tumba-alezi-tv2-p350-02/
bf597f9f-1e96-498f-86b2-c18b58a88731,"1796",Тумба ТВ «Алези Люкс» П1.349.0.02 (П350.02л),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/tumba_alezi_tv2_lux_p350_02l_slon_kost.jpg,3094,0,-3094,2024-09-10 00:00:00.000,тумба под телевизор,1569,501,584,84,0.517,true,https://pinskdrev.by/catalog/korpusnaya-mebel/tumbyi/tumba-alezi-tv2-lyuks-p350-02l/
a156f22c-94e0-443a-bfea-af2b65a024d1,"3122",Матрасы «Британи»,https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/products/britany_logo.jpg,379,446,67,2024-09-10 00:00:00.000,"стандартный матрас, детский матрас",0,0,0,0,0.0,true,https://pinskdrev.by/catalog/matrasyi/matrasyi-britani/
"5be740f3-f856-46af-bbfe-2f598ca9e199","2138",Шкаф «Гресс» П6.501.2.01 (П501.01),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/shkaf_gress_p501_01.jpg,475,528,53,2024-09-10 00:00:00.000,шкаф комбинированный,630,390,1920,51,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/shkafyi/shkaf-gress-p501-01/
"6ddc8ca0-2f9f-4a2e-aa09-c7e637769e01","2139",Кровать двойная «Гресс»,https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/krovat_gress_p501_095a4c6c0814fa25d8c8ed3c9727.jpg,592,658,66,2024-09-10 00:00:00.000,двуспальная кровать,2051,0,850,0,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/krovati/krovat-dvoynaya-gress-p501-09/
"13001895-2e5c-4b16-946e-6ed6e491520e","2140",Тумба прикроватная «Гресс» П6.501.1.10 (П501.10),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/4J4A1178-kopiya5e04580060595.jpg,153,170,17,2024-09-10 00:00:00.000,тумба прикроватная,630,390,288,20,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/tumbyi/tumba-prikrovatnaya-gress-p501-10/
"5f115d42-045d-4e0d-9f37-d99f3bf0e598","2141",Комод «Гресс» П6.501.1.11 (П501.11),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/komod_gress_p501_11.jpg,473,526,53,2024-09-10 00:00:00.000,комод,930,390,942,55,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/tumbyi/komod-gress-p501-11/
f92475fd-2651-4664-a232-0b38513809ae,"2142",Шкаф для одежды «Гресс» П6.501.1.12 (П501.12),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/shkaf_gress_p501_12.jpg,946,1051,105,2024-09-10 00:00:00.000,шкаф для одежды,1562,587,1920,158,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/shkafyi/shkaf-dlya-odejdyi-gress-p501-12/
"4308c9bf-c71c-477c-85e0-072ef005347b","2143",Шкаф для одежды «Гресс» П6.501.1.13-01 (П501.13),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/shkaf_gress_p501_13.jpg,966,1073,107,2024-09-10 00:00:00.000,шкаф для одежды,1562,587,1920,170,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/shkafyi/shkaf-dlya-odejdyi-gress-p501-13/
"8522802e-6601-47aa-8235-66de69d5f142","2144",Шкаф для одежды 2д «Гресс» П6.501.1.14 (П501.14),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/shkaf_gress_p501_14.jpg,637,708,71,2024-09-10 00:00:00.000,шкаф для одежды,930,587,1920,87,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/shkafyi/shkaf-dlya-odejdyi-gress-p501-14/
"09953ff5-2223-4cfa-911a-7c186dcee1a9","2146",Стол журнальный «Гресс» П6.501.0.16 (П501.16),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/stol_jurn_gress_p501_16.jpg,190,211,21,2024-09-10 00:00:00.000,стол журнальный,750,750,500,0,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/stolyi/stol-jurnalnyiy-gress-p501-16/
"5bdb8792-d33f-490f-aa84-80faed40e06c","2145",Стол письменный 2т «Гресс» П6.501.2.15 (П501.15),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/stol_pism_gress_p501_15.jpg,605,672,67,2024-09-10 00:00:00.000,стол письменный,1550,670,760,53,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/stolyi/stol-pismennyiy-gress-p501-15/
"923fa0b4-ce51-4c19-864a-1f1030601e92","2149",Полка консольная «Гресс» П6.501.0.19 (П501.19),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/polka_gress_p501_19.jpg,97,108,11,2024-09-10 00:00:00.000,полка,1390,220,300,0,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/dekorativnyie-elementyi/polka-konsolnaya-gress-p501-19/
"828f453a-207b-473c-9b7b-5383a5ad52d1","2150",Полка консольная «Гресс» П6.501.0.20 (П501.20),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/polka_gress_p501_20.jpg,85,94,9,2024-09-10 00:00:00.000,полка,930,220,300,0,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/dekorativnyie-elementyi/polka-konsolnaya-gress-p501-20/
bbaa92b6-4a68-4d9d-b8fa-aa5c637e61d9,"2151",Секция антресольная «Гресс» П6.501.1.21 (П501.21),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/sekciya_antresol_gress_p501_21.jpg,365,406,41,2024-09-10 00:00:00.000,секция,1562,587,480,0,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/shkafyi/sektsiya-antresolnaya-gress-p501-21/
"5a2690ec-0d1b-4532-b585-d42963ee3244","2152",Стол раздвижной «Гресс» П6.501.0.22 (П501.22),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/stol_razdvig_gress_p501_21.jpg,488,542,54,2024-09-10 00:00:00.000,стол обеденный,1600,910,770,50,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/stolyi/stol-razdvijnoy-gress-p501-22/
"67234b41-d525-475c-b749-d8200c45e806","2153",Стол письменный «Гресс» П6.501.2.23-01 (П501.23),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/stol_pism_gress_p501_23.jpg,428,475,47,2024-09-10 00:00:00.000,стол письменный,1150,670,760,58,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/stolyi/stol-pismennyiy-gress-p501-23/
b821ad33-a607-4c6d-8645-e4aa11e4d448,"2155",Тумба «Гресс» П6.501.0.25 (П501.25),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/tumba_gress_p501_25.jpg,546,607,61,2024-09-10 00:00:00.000,тумба комбинированная,1400,390,942,67,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/tumbyi/tumba-gress-p501-25/
"8816c024-fa65-4007-8e17-3f6aeb960d87","2156",Комод «Гресс» П6.501.1.26 (П501.26),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/komod_gress_p501_26.jpg,518,576,58,2024-09-10 00:00:00.000,комод,630,390,1180,0,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/tumbyi/komod-gress-p501-26/
"35f22529-ebaa-42ec-96e6-425a2ce8f0da","2157",Шкаф для одежды «Гресс» П6.501.1.27 (П501.27),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/shkaf_gress_p501_27.jpg,449,499,50,2024-09-10 00:00:00.000,шкаф комбинированный,630,390,1920,24,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/shkafyi/shkaf-gress-p501-27/
ab914e1b-780a-43a0-abb9-9c075f0bddac,"1969",Шкаф с витриной «Гресс» П6.501.0.04 (П501.04),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/shkaf_s_vitrinoi_gress_p501_04.jpg,687,763,76,2024-09-10 00:00:00.000,шкаф с витриной,630,390,1920,73,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/shkafyi/shkaf-s-vitrinoy-gress-p501-04/
"4b8a610d-5cd7-4f6b-84c3-165f064caf83","1971",Тумба «Гресс» П6.501.0.05 (П501.05),https://pinskdrev.by/web/files/imagick_cache/w235h235t3/web/catalogfiles/catalog/offers/tumba_gress_p501_05.jpg,844,938,94,2024-09-10 00:00:00.000,тумба комбинированная,1400,390,1180,98,0.0,true,https://pinskdrev.by/catalog/korpusnaya-mebel/tumbyi/tumba-gress-p501-05/
