"id","article","name","image","price_new","price_old","discount","date_create","date_update","type","length","width","height","weight","volume","actual","link"
f4378bcf-fe0e-45f6-ae21-a5ae05443024,"330124",null,null,39290,28590,-10700,2024-10-05 12:42:35.599,2024-10-05 13:55:52.365,,,,,,,true,https://www.angstrem-mebel.ru//products/33260/
df5cc387-d776-48a1-b3ac-6cc31e49f655,"41158",Шкаф Магнум,pload/iblock/0a6/0a6c1d726462789fd94f4417950e8778.jpg,42080,0,-42080,2024-10-05 12:43:05.223,2024-10-05 12:43:05.223,Шкафы,,,,,,true,https://www.angstrem-mebel.ru//products/41158/
bea0cd2b-a097-41e9-9818-2ac05445f20a,"137416",Кровать Магнум,pload/iblock/3af/eizdwfbgta0z1ncov8eedvpm7k8asgx0.jpg,39990,58790,18800,2024-10-05 12:42:37.548,2024-10-05 13:55:52.574,Кровати,,,,,,true,https://www.angstrem-mebel.ru//products/137416/
d211e4fb-af1e-4fa6-910f-2f27208c36c9,"41288",Шкаф Магнум,pload/iblock/453/453ca7323095cc8577206ca11b9af776.jpg,43670,0,-43670,2024-10-05 12:43:05.243,2024-10-05 12:43:05.243,Шкафы,,,,,,true,https://www.angstrem-mebel.ru//products/41288/
ea576a74-4714-4508-b162-29b1403687cd,"83277",Шкаф Изотта,pload/iblock/012/012ba430e940c9a2c60e954adad1f650.jpg,31790,54790,23000,2024-10-05 12:42:35.951,2024-10-05 13:55:51.762,Шкафы,,,,,,true,https://www.angstrem-mebel.ru//products/83277/
"672d01ab-10e4-4178-8fd3-5ccd6b16c6c4","138528",Кровать Изотта,pload/iblock/aaf/cc9f31pmlxdsy01xu4zzgynepsr792s3.jpg,98690,0,-98690,2024-10-05 12:42:37.555,2024-10-05 13:55:52.578,Кровати,,,,,,true,https://www.angstrem-mebel.ru//products/138528/
"49918836-b5a1-43dc-ad86-35a97f467b2b","61309",Шкаф навесной Анри Урбан,pload/iblock/8d8/1v9pkx0ybbuvpjka8y8llt16593trvuh.png,8690,0,-8690,2024-10-05 12:43:05.317,2024-10-05 12:43:05.317,Шкафы,,,,,,true,https://www.angstrem-mebel.ru//products/61309/
"8a3d9dd1-c1a9-4c62-a228-dfa266fd1634","326239",Кровать Кеноша,pload/iblock/fcc/j1cwnxrqdaotr3ebxszfp7akf3my1r2u.jpg,47790,0,-47790,2024-10-05 12:42:37.564,2024-10-05 13:55:52.582,Кровати,,,,,,true,https://www.angstrem-mebel.ru//products/326239/
"48dc0afa-a270-4351-bac3-0d80f361124d","66650",Шкаф Изотта,pload/iblock/99a/99a52a7d0be52508b47c294b855ab18b.jpg,70580,0,-70580,2024-10-05 12:43:05.353,2024-10-05 12:43:05.353,Шкафы,,,,,,true,https://www.angstrem-mebel.ru//products/66650/
"9be78598-8a63-4b5c-8c28-e7cfe3edc5f5","66651",Шкаф Изотта,pload/iblock/33d/33da4595e0341685f92d61f08cb0a2f6.jpg,73870,0,-73870,2024-10-05 12:43:05.374,2024-10-05 12:43:05.374,Шкафы,,,,,,true,https://www.angstrem-mebel.ru//products/66651/
